date,disease
2019/1/9,0
2019/1/10,0
2019/1/11,0
2019/1/12,0
2019/1/13,0
2019/1/14,0
2019/1/15,0
2019/1/16,0
2019/1/17,0
2019/1/18,0
2019/1/19,1
2019/1/20,1
2019/1/21,1
2019/1/22,1
2019/1/23,1
2019/1/24,1
2019/1/25,1
2019/1/26,1
2019/1/27,1
2019/1/28,1
2019/1/29,1
2019/1/30,1
2019/1/31,1
2019/2/1,1
2019/2/2,1
2019/2/3,1
2019/2/4,1
2019/2/5,1
2019/2/6,1
2019/2/7,1
2019/2/8,1
2019/2/9,1
2019/2/10,1
2019/2/11,1
2019/2/12,1
2019/2/13,1
2019/2/14,1
2019/2/15,1
2019/2/16,1
2019/2/17,1
2019/2/18,1
2019/2/19,1
2019/2/20,1
2019/2/21,1
2019/2/22,1
2019/2/23,1
2019/2/24,1
2019/2/25,1
2019/2/26,1
2019/2/27,1
2019/2/28,1
2019/3/1,1
2019/3/2,1
2019/3/3,1
2019/3/4,1
2019/3/5,1
