"< Measurement Data Text Output >"
""
"Date/Time","@date()","ch.1","ch.2","ch.3","ch.4","ch.5","ch.6","ch.7","ch.8"
"","","°C","°C","","","","","",""
"10/13/2017 15:50'00","43021.6597222222","  21.2000","  22.5000","","","","","","",
"10/13/2017 16:00'00","43021.6666666667","  21.2000","  22.5000","","","","","","",
"10/13/2017 16:10'00","43021.6736111111","  21.1000","  22.5000","","","","","","",
"10/13/2017 16:20'00","43021.6805555556","  20.8000","  22.5000","","","","","","",
"10/13/2017 16:30'00","43021.6875000000","  20.8000","  22.5000","","","","","","",
"10/13/2017 16:40'00","43021.6944444444","  20.9000","  22.4000","","","","","","",
"10/13/2017 16:50'00","43021.7013888889","  20.8000","  22.5000","","","","","","",
"10/13/2017 17:00'00","43021.7083333333","  20.9000","  22.4000","","","","","","",
"10/13/2017 17:10'00","43021.7152777778","  20.7000","  22.4000","","","","","","",
"10/13/2017 17:20'00","43021.7222222222","  20.6000","  22.4000","","","","","","",
"10/13/2017 17:30'00","43021.7291666667","  20.7000","  22.4000","","","","","","",
"10/13/2017 17:40'00","43021.7361111111","  20.8000","  22.3000","","","","","","",
"10/13/2017 17:50'00","43021.7430555556","  20.7000","  22.4000","","","","","","",
"10/13/2017 18:00'00","43021.7500000000","  20.6000","  22.3000","","","","","","",
"10/13/2017 18:10'00","43021.7569444444","  20.5000","  22.3000","","","","","","",
"10/13/2017 18:20'00","43021.7638888889","  20.5000","  22.3000","","","","","","",
"10/13/2017 18:30'00","43021.7708333333","  20.5000","  22.2000","","","","","","",
"10/13/2017 18:40'00","43021.7777777778","  20.3000","  22.3000","","","","","","",
"10/13/2017 18:50'00","43021.7847222222","  20.3000","  22.2000","","","","","","",
"10/13/2017 19:00'00","43021.7916666667","  20.1000","  22.3000","","","","","","",
"10/13/2017 19:10'00","43021.7986111111","  20.0000","  22.2000","","","","","","",
"10/13/2017 19:20'00","43021.8055555556","  19.8000","  22.2000","","","","","","",
"10/13/2017 19:30'00","43021.8125000000","  19.6000","  22.2000","","","","","","",
"10/13/2017 19:40'00","43021.8194444444","  19.5000","  22.2000","","","","","","",
"10/13/2017 19:50'00","43021.8263888889","  19.5000","  22.1000","","","","","","",
"10/13/2017 20:00'00","43021.8333333333","  19.6000","  22.2000","","","","","","",
"10/13/2017 20:10'00","43021.8402777778","  19.4000","  22.1000","","","","","","",
"10/13/2017 20:20'00","43021.8472222222","  19.4000","  22.1000","","","","","","",
"10/13/2017 20:30'00","43021.8541666667","  19.7000","  22.1000","","","","","","",
"10/13/2017 20:40'00","43021.8611111111","  19.5000","  22.1000","","","","","","",
"10/13/2017 20:50'00","43021.8680555556","  19.7000","  22.1000","","","","","","",
"10/13/2017 21:00'00","43021.8750000000","  19.4000","  22.1000","","","","","","",
"10/13/2017 21:10'00","43021.8819444444","  19.1000","  22.0000","","","","","","",
"10/13/2017 21:20'00","43021.8888888889","  19.1000","  22.1000","","","","","","",
"10/13/2017 21:30'00","43021.8958333333","  19.2000","  22.0000","","","","","","",
"10/13/2017 21:40'00","43021.9027777778","  19.2000","  22.0000","","","","","","",
"10/13/2017 21:50'00","43021.9097222222","  19.3000","  22.0000","","","","","","",
"10/13/2017 22:00'00","43021.9166666667","  19.3000","  22.0000","","","","","","",
"10/13/2017 22:10'00","43021.9236111111","  19.2000","  22.0000","","","","","","",
"10/13/2017 22:20'00","43021.9305555556","  19.3000","  22.0000","","","","","","",
"10/13/2017 22:30'00","43021.9375000000","  19.3000","  21.9000","","","","","","",
"10/13/2017 22:40'00","43021.9444444444","  19.4000","  21.9000","","","","","","",
"10/13/2017 22:50'00","43021.9513888889","  19.5000","  21.9000","","","","","","",
"10/13/2017 23:00'00","43021.9583333333","  19.3000","  21.9000","","","","","","",
"10/13/2017 23:10'00","43021.9652777778","  19.2000","  21.9000","","","","","","",
"10/13/2017 23:20'00","43021.9722222222","  19.4000","  21.9000","","","","","","",
"10/13/2017 23:30'00","43021.9791666667","  19.4000","  21.9000","","","","","","",
"10/13/2017 23:40'00","43021.9861111111","  19.3000","  21.9000","","","","","","",
"10/13/2017 23:50'00","43021.9930555556","  19.5000","  21.9000","","","","","","",
"10/14/2017 00:00'00","43022.0000000000","  19.3000","  21.9000","","","","","","",
"10/14/2017 00:10'00","43022.0069444444","  19.4000","  21.8000","","","","","","",
"10/14/2017 00:20'00","43022.0138888889","  19.3000","  21.8000","","","","","","",
"10/14/2017 00:30'00","43022.0208333333","  19.1000","  21.8000","","","","","","",
"10/14/2017 00:40'00","43022.0277777778","  19.0000","  21.9000","","","","","","",
"10/14/2017 00:50'00","43022.0347222222","  18.8000","  21.8000","","","","","","",
"10/14/2017 01:00'00","43022.0416666667","  18.7000","  21.8000","","","","","","",
"10/14/2017 01:10'00","43022.0486111111","  18.8000","  21.8000","","","","","","",
"10/14/2017 01:20'00","43022.0555555556","  18.8000","  21.7000","","","","","","",
"10/14/2017 01:30'00","43022.0625000000","  19.0000","  21.7000","","","","","","",
"10/14/2017 01:40'00","43022.0694444444","  19.2000","  21.7000","","","","","","",
"10/14/2017 01:50'00","43022.0763888889","  19.2000","  21.8000","","","","","","",
"10/14/2017 02:00'00","43022.0833333333","  18.8000","  21.7000","","","","","","",
"10/14/2017 02:10'00","43022.0902777778","  18.9000","  21.7000","","","","","","",
"10/14/2017 02:20'00","43022.0972222222","  18.9000","  21.7000","","","","","","",
"10/14/2017 02:30'00","43022.1041666667","  18.7000","  21.7000","","","","","","",
"10/14/2017 02:40'00","43022.1111111111","  18.4000","  21.7000","","","","","","",
"10/14/2017 02:50'00","43022.1180555556","  18.5000","  21.6000","","","","","","",
"10/14/2017 03:00'00","43022.1250000000","  18.6000","  21.6000","","","","","","",
"10/14/2017 03:10'00","43022.1319444444","  18.4000","  21.6000","","","","","","",
"10/14/2017 03:20'00","43022.1388888889","  18.6000","  21.6000","","","","","","",
"10/14/2017 03:30'00","43022.1458333333","  18.4000","  21.6000","","","","","","",
"10/14/2017 03:40'00","43022.1527777778","  18.7000","  21.5000","","","","","","",
"10/14/2017 03:50'00","43022.1597222222","  18.6000","  21.6000","","","","","","",
"10/14/2017 04:00'00","43022.1666666667","  18.6000","  21.5000","","","","","","",
"10/14/2017 04:10'00","43022.1736111111","  18.5000","  21.5000","","","","","","",
"10/14/2017 04:20'00","43022.1805555556","  18.3000","  21.5000","","","","","","",
"10/14/2017 04:30'00","43022.1875000000","  18.4000","  21.5000","","","","","","",
"10/14/2017 04:40'00","43022.1944444444","  18.7000","  21.5000","","","","","","",
"10/14/2017 04:50'00","43022.2013888889","  18.7000","  21.4000","","","","","","",
"10/14/2017 05:00'00","43022.2083333333","  18.7000","  21.4000","","","","","","",
"10/14/2017 05:10'00","43022.2152777778","  18.8000","  21.5000","","","","","","",
"10/14/2017 05:20'00","43022.2222222222","  18.9000","  21.4000","","","","","","",
"10/14/2017 05:30'00","43022.2291666667","  18.8000","  21.5000","","","","","","",
"10/14/2017 05:40'00","43022.2361111111","  18.8000","  21.4000","","","","","","",
"10/14/2017 05:50'00","43022.2430555556","  18.9000","  21.4000","","","","","","",
"10/14/2017 06:00'00","43022.2500000000","  18.9000","  21.4000","","","","","","",
"10/14/2017 06:10'00","43022.2569444444","  18.9000","  21.4000","","","","","","",
"10/14/2017 06:20'00","43022.2638888889","  19.1000","  21.4000","","","","","","",
"10/14/2017 06:30'00","43022.2708333333","  18.7000","  21.4000","","","","","","",
"10/14/2017 06:40'00","43022.2777777778","  18.8000","  21.4000","","","","","","",
"10/14/2017 06:50'00","43022.2847222222","  19.1000","  21.4000","","","","","","",
"10/14/2017 07:00'00","43022.2916666667","  19.4000","  21.4000","","","","","","",
"10/14/2017 07:10'00","43022.2986111111","  18.8000","  21.4000","","","","","","",
"10/14/2017 07:20'00","43022.3055555556","  19.0000","  21.4000","","","","","","",
"10/14/2017 07:30'00","43022.3125000000","  19.1000","  21.4000","","","","","","",
"10/14/2017 07:40'00","43022.3194444444","  19.1000","  21.3000","","","","","","",
"10/14/2017 07:50'00","43022.3263888889","  19.5000","  21.3000","","","","","","",
"10/14/2017 08:00'00","43022.3333333333","  19.6000","  21.4000","","","","","","",
"10/14/2017 08:10'00","43022.3402777778","  19.5000","  21.4000","","","","","","",
"10/14/2017 08:20'00","43022.3472222222","  19.4000","  21.4000","","","","","","",
"10/14/2017 08:30'00","43022.3541666667","  19.5000","  21.4000","","","","","","",
"10/14/2017 08:40'00","43022.3611111111","  20.1000","  21.4000","","","","","","",
"10/14/2017 08:50'00","43022.3680555556","  22.4000","  21.4000","","","","","","",
"10/14/2017 09:00'00","43022.3750000000","  23.1000","  21.4000","","","","","","",
"10/14/2017 09:10'00","43022.3819444444","  23.2000","  21.4000","","","","","","",
"10/14/2017 09:20'00","43022.3888888889","  23.3000","  21.5000","","","","","","",
"10/14/2017 09:30'00","43022.3958333333","  23.2000","  21.5000","","","","","","",
"10/14/2017 09:40'00","43022.4027777778","  23.5000","  21.5000","","","","","","",
"10/14/2017 09:50'00","43022.4097222222","  23.5000","  21.6000","","","","","","",
"10/14/2017 10:00'00","43022.4166666667","  23.5000","  21.6000","","","","","","",
"10/14/2017 10:10'00","43022.4236111111","  23.6000","  21.6000","","","","","","",
"10/14/2017 10:20'00","43022.4305555556","  22.8000","  21.7000","","","","","","",
"10/14/2017 10:30'00","43022.4375000000","  22.3000","  21.6000","","","","","","",
"10/14/2017 10:40'00","43022.4444444444","  22.8000","  21.7000","","","","","","",
"10/14/2017 10:50'00","43022.4513888889","  22.7000","  21.7000","","","","","","",
"10/14/2017 11:00'00","43022.4583333333","  24.4000","  21.8000","","","","","","",
"10/14/2017 11:10'00","43022.4652777778","  23.1000","  21.8000","","","","","","",
"10/14/2017 11:20'00","43022.4722222222","  24.4000","  21.8000","","","","","","",
"10/14/2017 11:30'00","43022.4791666667","  25.4000","  21.8000","","","","","","",
"10/14/2017 11:40'00","43022.4861111111","  24.2000","  21.9000","","","","","","",
"10/14/2017 11:50'00","43022.4930555556","  23.2000","  21.9000","","","","","","",
"10/14/2017 12:00'00","43022.5000000000","  23.0000","  22.0000","","","","","","",
"10/14/2017 12:10'00","43022.5069444444","  23.5000","  22.0000","","","","","","",
"10/14/2017 12:20'00","43022.5138888889","  24.0000","  22.0000","","","","","","",
"10/14/2017 12:30'00","43022.5208333333","  23.4000","  22.0000","","","","","","",
"10/14/2017 12:40'00","43022.5277777778","  23.3000","  22.0000","","","","","","",
"10/14/2017 12:50'00","43022.5347222222","  22.4000","  22.0000","","","","","","",
"10/14/2017 13:00'00","43022.5416666667","  21.5000","  22.1000","","","","","","",
"10/14/2017 13:10'00","43022.5486111111","  21.7000","  22.1000","","","","","","",
"10/14/2017 13:20'00","43022.5555555556","  22.3000","  22.1000","","","","","","",
"10/14/2017 13:30'00","43022.5625000000","  22.1000","  22.1000","","","","","","",
"10/14/2017 13:40'00","43022.5694444444","  22.1000","  22.1000","","","","","","",
"10/14/2017 13:50'00","43022.5763888889","  22.7000","  22.1000","","","","","","",
"10/14/2017 14:00'00","43022.5833333333","  22.4000","  22.1000","","","","","","",
"10/14/2017 14:10'00","43022.5902777778","  22.1000","  22.1000","","","","","","",
"10/14/2017 14:20'00","43022.5972222222","  21.1000","  22.1000","","","","","","",
"10/14/2017 14:30'00","43022.6041666667","  20.7000","  22.0000","","","","","","",
"10/14/2017 14:40'00","43022.6111111111","  20.6000","  22.1000","","","","","","",
"10/14/2017 14:50'00","43022.6180555556","  21.0000","  22.1000","","","","","","",
"10/14/2017 15:00'00","43022.6250000000","  21.2000","  22.1000","","","","","","",
"10/14/2017 15:10'00","43022.6319444444","  20.9000","  22.0000","","","","","","",
"10/14/2017 15:20'00","43022.6388888889","  21.3000","  22.0000","","","","","","",
"10/14/2017 15:30'00","43022.6458333333","  21.5000","  22.0000","","","","","","",
"10/14/2017 15:40'00","43022.6527777778","  21.6000","  22.0000","","","","","","",
"10/14/2017 15:50'00","43022.6597222222","  21.2000","  22.0000","","","","","","",
"10/14/2017 16:00'00","43022.6666666667","  20.9000","  22.0000","","","","","","",
"10/14/2017 16:10'00","43022.6736111111","  20.5000","  22.0000","","","","","","",
"10/14/2017 16:20'00","43022.6805555556","  20.6000","  22.0000","","","","","","",
"10/14/2017 16:30'00","43022.6875000000","  20.3000","  22.0000","","","","","","",
"10/14/2017 16:40'00","43022.6944444444","  20.2000","  22.0000","","","","","","",
"10/14/2017 16:50'00","43022.7013888889","  19.9000","  22.0000","","","","","","",
"10/14/2017 17:00'00","43022.7083333333","  19.7000","  22.0000","","","","","","",
"10/14/2017 17:10'00","43022.7152777778","  19.4000","  21.9000","","","","","","",
"10/14/2017 17:20'00","43022.7222222222","  19.5000","  22.0000","","","","","","",
"10/14/2017 17:30'00","43022.7291666667","  19.5000","  21.9000","","","","","","",
"10/14/2017 17:40'00","43022.7361111111","  19.6000","  21.9000","","","","","","",
"10/14/2017 17:50'00","43022.7430555556","  19.4000","  21.9000","","","","","","",
"10/14/2017 18:00'00","43022.7500000000","  19.6000","  21.8000","","","","","","",
"10/14/2017 18:10'00","43022.7569444444","  19.6000","  21.9000","","","","","","",
"10/14/2017 18:20'00","43022.7638888889","  19.4000","  21.8000","","","","","","",
"10/14/2017 18:30'00","43022.7708333333","  19.2000","  21.8000","","","","","","",
"10/14/2017 18:40'00","43022.7777777778","  19.0000","  21.8000","","","","","","",
"10/14/2017 18:50'00","43022.7847222222","  19.1000","  21.7000","","","","","","",
"10/14/2017 19:00'00","43022.7916666667","  19.1000","  21.7000","","","","","","",
"10/14/2017 19:10'00","43022.7986111111","  19.3000","  21.7000","","","","","","",
"10/14/2017 19:20'00","43022.8055555556","  19.4000","  21.7000","","","","","","",
"10/14/2017 19:30'00","43022.8125000000","  19.4000","  21.7000","","","","","","",
"10/14/2017 19:40'00","43022.8194444444","  19.4000","  21.7000","","","","","","",
"10/14/2017 19:50'00","43022.8263888889","  19.1000","  21.7000","","","","","","",
"10/14/2017 20:00'00","43022.8333333333","  19.0000","  21.6000","","","","","","",
"10/14/2017 20:10'00","43022.8402777778","  19.0000","  21.6000","","","","","","",
"10/14/2017 20:20'00","43022.8472222222","  19.1000","  21.6000","","","","","","",
"10/14/2017 20:30'00","43022.8541666667","  19.1000","  21.6000","","","","","","",
"10/14/2017 20:40'00","43022.8611111111","  18.6000","  21.6000","","","","","","",
"10/14/2017 20:50'00","43022.8680555556","  18.7000","  21.6000","","","","","","",
"10/14/2017 21:00'00","43022.8750000000","  18.6000","  21.6000","","","","","","",
"10/14/2017 21:10'00","43022.8819444444","  18.5000","  21.5000","","","","","","",
"10/14/2017 21:20'00","43022.8888888889","  18.5000","  21.5000","","","","","","",
"10/14/2017 21:30'00","43022.8958333333","  18.7000","  21.5000","","","","","","",
"10/14/2017 21:40'00","43022.9027777778","  18.7000","  21.4000","","","","","","",
"10/14/2017 21:50'00","43022.9097222222","  18.9000","  21.5000","","","","","","",
"10/14/2017 22:00'00","43022.9166666667","  18.5000","  21.4000","","","","","","",
"10/14/2017 22:10'00","43022.9236111111","  18.4000","  21.4000","","","","","","",
"10/14/2017 22:20'00","43022.9305555556","  18.3000","  21.4000","","","","","","",
"10/14/2017 22:30'00","43022.9375000000","  18.6000","  21.4000","","","","","","",
"10/14/2017 22:40'00","43022.9444444444","  18.6000","  21.4000","","","","","","",
"10/14/2017 22:50'00","43022.9513888889","  18.6000","  21.4000","","","","","","",
"10/14/2017 23:00'00","43022.9583333333","  18.5000","  21.3000","","","","","","",
"10/14/2017 23:10'00","43022.9652777778","  18.7000","  21.3000","","","","","","",
"10/14/2017 23:20'00","43022.9722222222","  18.7000","  21.3000","","","","","","",
"10/14/2017 23:30'00","43022.9791666667","  18.6000","  21.3000","","","","","","",
"10/14/2017 23:40'00","43022.9861111111","  18.8000","  21.2000","","","","","","",
"10/14/2017 23:50'00","43022.9930555556","  18.9000","  21.2000","","","","","","",
"10/15/2017 00:00'00","43023.0000000000","  18.9000","  21.2000","","","","","","",
"10/15/2017 00:10'00","43023.0069444444","  18.9000","  21.3000","","","","","","",
"10/15/2017 00:20'00","43023.0138888889","  18.7000","  21.3000","","","","","","",
"10/15/2017 00:30'00","43023.0208333333","  18.7000","  21.2000","","","","","","",
"10/15/2017 00:40'00","43023.0277777778","  18.8000","  21.2000","","","","","","",
"10/15/2017 00:50'00","43023.0347222222","  18.7000","  21.2000","","","","","","",
"10/15/2017 01:00'00","43023.0416666667","  18.8000","  21.2000","","","","","","",
"10/15/2017 01:10'00","43023.0486111111","  18.9000","  21.2000","","","","","","",
"10/15/2017 01:20'00","43023.0555555556","  18.9000","  21.2000","","","","","","",
"10/15/2017 01:30'00","43023.0625000000","  18.7000","  21.2000","","","","","","",
"10/15/2017 01:40'00","43023.0694444444","  18.9000","  21.2000","","","","","","",
"10/15/2017 01:50'00","43023.0763888889","  18.9000","  21.2000","","","","","","",
"10/15/2017 02:00'00","43023.0833333333","  18.8000","  21.2000","","","","","","",
"10/15/2017 02:10'00","43023.0902777778","  18.9000","  21.2000","","","","","","",
"10/15/2017 02:20'00","43023.0972222222","  18.7000","  21.1000","","","","","","",
"10/15/2017 02:30'00","43023.1041666667","  18.6000","  21.1000","","","","","","",
"10/15/2017 02:40'00","43023.1111111111","  18.7000","  21.2000","","","","","","",
"10/15/2017 02:50'00","43023.1180555556","  18.6000","  21.2000","","","","","","",
"10/15/2017 03:00'00","43023.1250000000","  18.6000","  21.1000","","","","","","",
"10/15/2017 03:10'00","43023.1319444444","  18.5000","  21.1000","","","","","","",
"10/15/2017 03:20'00","43023.1388888889","  18.5000","  21.1000","","","","","","",
"10/15/2017 03:30'00","43023.1458333333","  18.3000","  21.1000","","","","","","",
"10/15/2017 03:40'00","43023.1527777778","  18.4000","  21.1000","","","","","","",
"10/15/2017 03:50'00","43023.1597222222","  18.5000","  21.1000","","","","","","",
"10/15/2017 04:00'00","43023.1666666667","  18.5000","  21.1000","","","","","","",
"10/15/2017 04:10'00","43023.1736111111","  18.4000","  21.1000","","","","","","",
"10/15/2017 04:20'00","43023.1805555556","  18.5000","  21.1000","","","","","","",
"10/15/2017 04:30'00","43023.1875000000","  18.3000","  21.1000","","","","","","",
"10/15/2017 04:40'00","43023.1944444444","  18.2000","  21.0000","","","","","","",
"10/15/2017 04:50'00","43023.2013888889","  18.5000","  21.0000","","","","","","",
"10/15/2017 05:00'00","43023.2083333333","  18.5000","  21.0000","","","","","","",
"10/15/2017 05:10'00","43023.2152777778","  18.5000","  21.0000","","","","","","",
"10/15/2017 05:20'00","43023.2222222222","  18.6000","  21.0000","","","","","","",
"10/15/2017 05:30'00","43023.2291666667","  18.5000","  21.0000","","","","","","",
"10/15/2017 05:40'00","43023.2361111111","  18.5000","  21.0000","","","","","","",
"10/15/2017 05:50'00","43023.2430555556","  18.3000","  21.0000","","","","","","",
"10/15/2017 06:00'00","43023.2500000000","  18.2000","  20.9000","","","","","","",
"10/15/2017 06:10'00","43023.2569444444","  18.3000","  21.0000","","","","","","",
"10/15/2017 06:20'00","43023.2638888889","  18.3000","  21.0000","","","","","","",
"10/15/2017 06:30'00","43023.2708333333","  18.6000","  21.0000","","","","","","",
"10/15/2017 06:40'00","43023.2777777778","  18.5000","  20.9000","","","","","","",
"10/15/2017 06:50'00","43023.2847222222","  18.5000","  20.9000","","","","","","",
"10/15/2017 07:00'00","43023.2916666667","  18.5000","  20.9000","","","","","","",
"10/15/2017 07:10'00","43023.2986111111","  18.5000","  20.9000","","","","","","",
"10/15/2017 07:20'00","43023.3055555556","  18.5000","  20.9000","","","","","","",
"10/15/2017 07:30'00","43023.3125000000","  18.7000","  20.9000","","","","","","",
"10/15/2017 07:40'00","43023.3194444444","  18.5000","  20.9000","","","","","","",
