date,disease
2017/5/12,1
2017/5/13,1
2017/5/14,1
2017/5/15,1
2017/5/16,1
2017/5/17,1
2017/5/18,1
2017/5/19,1
2017/5/20,1
2017/5/21,1
2017/5/22,1
2017/5/23,1
2017/5/24,1
2017/5/25,1
2017/5/26,1
2017/5/27,1
2017/5/28,1
2017/5/29,1
2017/5/30,1
2017/5/31,1
2017/6/1,1
2017/6/2,1
2017/6/3,1
2017/6/4,1
2017/6/5,1
2017/6/6,0
2017/6/7,0
2017/6/8,0
2017/6/9,1
2017/6/10,0
2017/6/11,0
2017/6/12,0
2017/6/13,0
2017/6/14,0
2017/6/15,0
2017/6/16,0
2017/6/17,0
2017/6/18,0
2017/6/19,0
2017/6/20,0
2017/6/21,1
2017/6/22,1
2017/6/23,1
2017/6/24,1
2017/6/25,1
2017/6/26,1
2017/6/27,1
2017/6/28,1
2017/6/29,1
2017/6/30,1
2017/7/1,1
2017/7/2,1
2017/7/3,1
2017/7/4,1
2017/7/5,1
2017/7/6,1
