date	disease
2017/8/1	0
2017/8/2	0
2017/8/3	0
2017/8/4	0
2017/8/5	0
2017/8/6	0
2017/8/7	0
2017/8/8	0
2017/8/9	0
2017/8/10	0
2017/8/11	0
2017/8/12	1
2017/8/13	1
2017/8/14	1
2017/8/15	1
2017/8/16	1
2017/8/17	1
2017/8/18	1
2017/8/19	1
2017/8/20	1
2017/8/21	1
2017/8/22	1
2017/8/23	1
2017/8/24	1
2017/8/25	1
2017/8/26	1
2017/8/27	1
2017/8/28	1
2017/8/29	1
2017/8/30	1
2017/8/31	1
2017/9/1	1
2017/9/2	1
2017/9/3	1
2017/9/4	1
2017/9/5	0
2017/9/6	0
2017/9/7	0
2017/9/8	0
2017/9/9	0
2017/9/10	0
2017/9/11	0
2017/9/12	0
2017/9/13	0
2017/9/14	0
2017/9/15	0
2017/9/16	0
2017/9/17	0
2017/9/18	0
2017/9/19	0
2017/9/20	0
2017/9/21	0
2017/9/22	0
2017/9/23	0
2017/9/24	0
2017/9/25	0
