Date/Time	movement
2017/5/12	0
2017/5/13	0
2017/5/14	0
2017/5/15	0
2017/5/16	0
2017/5/17	0
2017/5/18	0
2017/5/19	0
2017/5/20	0
2017/5/21	0
2017/5/22	0
2017/5/23	0
2017/5/24	0
2017/5/25	0
2017/5/26	0
2017/5/27	0
2017/5/28	0
2017/5/29	0
2017/5/30	0
2017/5/31	0
2017/6/1	0
2017/6/2	0
2017/6/3	0
2017/6/4	0
2017/6/5	0
2017/6/6	0
2017/6/7	0
2017/6/8	0
2017/6/9	1
2017/6/10	0
2017/6/11	0
2017/6/12	0
2017/6/13	0
2017/6/14	0
2017/6/15	0
2017/6/16	0
2017/6/17	0
2017/6/18	0
2017/6/19	0
2017/6/20	0
2017/6/21	0
2017/6/22	0
2017/6/23	0
2017/6/24	0
2017/6/25	0
2017/6/26	0
2017/6/27	0
2017/6/28	0
2017/6/29	0
2017/6/30	0
2017/7/1	0
2017/7/2	0
2017/7/3	0
2017/7/4	-1
2017/7/5	0
2017/7/6	0
