Date/Time	movement
2017/1/14	0
2017/1/15	0
2017/1/16	0
2017/1/17	0
2017/1/18	0
2017/1/19	0
2017/1/20	0
2017/1/21	0
2017/1/22	0
2017/1/23	0
2017/1/24	0
2017/1/25	0
2017/1/26	0
2017/1/27	0
2017/1/28	0
2017/1/29	0
2017/1/30	0
2017/1/31	0
2017/2/1	0
2017/2/2	0
2017/2/3	0
2017/2/4	0
2017/2/5	1
2017/2/6	0
2017/2/7	0
2017/2/8	0
2017/2/9	0
2017/2/10	0
2017/2/11	0
2017/2/12	0
2017/2/13	0
2017/2/14	0
2017/2/15	0
2017/2/16	-1
2017/2/17	0
2017/2/18	0
2017/2/19	0
2017/2/20	0
2017/2/21	0
2017/2/22	0
2017/2/23	0
2017/2/24	0
2017/2/25	0
2017/2/26	0
2017/2/27	0
2017/2/28	0
2017/3/1	0
2017/3/2	0
2017/3/3	0
2017/3/4	-1
2017/3/5	0
2017/3/6	0
2017/3/7	0
2017/3/8	0
2017/3/9	0
2017/3/10	0
