date,disease
2017/12/19,1
2017/12/20,1
2017/12/21,1
2017/12/22,1
2017/12/23,1
2017/12/24,1
2017/12/25,1
2017/12/26,1
2017/12/27,1
2017/12/28,1
2017/12/29,1
2017/12/30,1
2017/12/31,1
2018/1/1,1
2018/1/2,1
2018/1/3,1
2018/1/4,1
2018/1/5,1
2018/1/6,1
2018/1/7,1
2018/1/8,1
2018/1/9,1
2018/1/10,1
2018/1/11,1
2018/1/12,1
2018/1/13,1
2018/1/14,1
2018/1/15,1
2018/1/16,1
2018/1/17,1
2018/1/18,1
2018/1/19,1
2018/1/20,1
2018/1/21,1
2018/1/22,1
2018/1/23,1
2018/1/24,1
2018/1/25,1
2018/1/26,1
2018/1/27,1
2018/1/28,1
2018/1/29,1
2018/1/30,1
2018/1/31,1
2018/2/1,1
2018/2/2,1
2018/2/3,1
2018/2/4,1
2018/2/5,1
2018/2/6,1
2018/2/7,1
2018/2/8,1
2018/2/9,1
2018/2/10,1
2018/2/11,1
2018/2/12,1
