date	disease
2016/7/22	0
2016/7/23	1
2016/7/24	1
2016/7/25	1
2016/7/26	1
2016/7/27	1
2016/7/28	1
2016/7/29	1
2016/7/30	1
2016/7/31	1
2016/8/1	1
2016/8/2	1
2016/8/3	1
2016/8/4	1
2016/8/5	1
2016/8/6	1
2016/8/7	1
2016/8/8	1
2016/8/9	1
2016/8/10	1
2016/8/11	1
2016/8/12	1
2016/8/13	1
2016/8/14	1
2016/8/15	1
2016/8/16	1
2016/8/17	1
2016/8/18	1
2016/8/19	1
2016/8/20	1
2016/8/21	1
2016/8/22	1
2016/8/23	1
2016/8/24	1
2016/8/25	1
2016/8/26	1
2016/8/27	1
2016/8/28	1
2016/8/29	1
2016/8/30	1
2016/8/31	1
2016/9/1	1
2016/9/2	1
2016/9/3	1
2016/9/4	1
2016/9/5	1
2016/9/6	1
2016/9/7	1
2016/9/8	1
2016/9/9	1
2016/9/10	1
2016/9/11	1
2016/9/12	1
2016/9/13	1
2016/9/14	1
2016/9/15	1
