date,disease
2018/10/27,0
2018/10/28,0
2018/10/29,0
2018/10/30,0
2018/10/31,0
2018/11/1,0
2018/11/2,0
2018/11/3,0
2018/11/4,0
2018/11/5,0
2018/11/6,0
2018/11/7,0
2018/11/8,0
2018/11/9,0
2018/11/10,0
2018/11/11,0
2018/11/12,0
2018/11/13,0
2018/11/14,0
2018/11/15,0
2018/11/16,0
2018/11/17,0
2018/11/18,0
2018/11/19,0
2018/11/20,1
2018/11/21,1
2018/11/22,1
2018/11/23,1
2018/11/24,1
2018/11/25,1
2018/11/26,1
2018/11/27,1
2018/11/28,0
2018/11/29,1
2018/11/30,1
2018/12/1,0
2018/12/2,0
2018/12/3,0
2018/12/4,1
2018/12/5,1
2018/12/6,1
2018/12/7,1
2018/12/8,1
2018/12/9,1
2018/12/10,1
2018/12/11,1
2018/12/12,1
2018/12/13,1
2018/12/14,1
2018/12/15,1
2018/12/16,1
2018/12/17,1
2018/12/18,1
2018/12/19,1
2018/12/20,1
2018/12/21,1
