Date/Time	movement
2017/12/19	0
2017/12/20	0
2017/12/21	0
2017/12/22	0
2017/12/23	0
2017/12/24	0
2017/12/25	0
2017/12/26	0
2017/12/27	0
2017/12/28	0
2017/12/29	0
2017/12/30	0
2017/12/31	0
2018/1/1	0
2018/1/2	0
2018/1/3	0
2018/1/4	0
2018/1/5	0
2018/1/6	0
2018/1/7	0
2018/1/8	0
2018/1/9	0
2018/1/10	0
2018/1/11	0
2018/1/12	0
2018/1/13	0
2018/1/14	0
2018/1/15	0
2018/1/16	0
2018/1/17	0
2018/1/18	0
2018/1/19	0
2018/1/20	0
2018/1/21	0
2018/1/22	0
2018/1/23	0
2018/1/24	0
2018/1/25	0
2018/1/26	0
2018/1/27	0
2018/1/28	0
2018/1/29	0
2018/1/30	0
2018/1/31	0
2018/2/1	0
2018/2/2	0
2018/2/3	0
2018/2/4	0
2018/2/5	0
2018/2/6	0
2018/2/7	0
2018/2/8	0
2018/2/9	0
2018/2/10	0
2018/2/11	0
2018/2/12	0
