date,disease
2018/8/11,0
2018/8/12,0
2018/8/13,0
2018/8/14,0
2018/8/15,0
2018/8/16,0
2018/8/17,0
2018/8/18,0
2018/8/19,0
2018/8/20,0
2018/8/21,0
2018/8/22,0
2018/8/23,0
2018/8/24,0
2018/8/25,0
2018/8/26,0
2018/8/27,0
2018/8/28,0
2018/8/29,1
2018/8/30,1
2018/8/31,1
2018/9/1,1
2018/9/2,1
2018/9/3,1
2018/9/4,1
2018/9/5,1
2018/9/6,1
2018/9/7,1
2018/9/8,1
2018/9/9,1
2018/9/10,1
2018/9/11,1
2018/9/12,1
2018/9/13,1
2018/9/14,1
2018/9/15,1
2018/9/16,1
2018/9/17,1
2018/9/18,1
2018/9/19,1
2018/9/20,1
2018/9/21,1
2018/9/22,1
2018/9/23,1
2018/9/24,1
2018/9/25,1
2018/9/26,1
2018/9/27,1
2018/9/28,1
2018/9/29,1
2018/9/30,1
2018/10/1,1
2018/10/2,1
2018/10/3,1
2018/10/4,1
2018/10/5,1
