date	disease
2017/10/13	1
2017/10/14	1
2017/10/15	1
2017/10/16	1
2017/10/17	1
2017/10/18	1
2017/10/19	1
2017/10/20	1
2017/10/21	1
2017/10/22	1
2017/10/23	1
2017/10/24	1
2017/10/25	1
2017/10/26	1
2017/10/27	1
2017/10/28	1
2017/10/29	1
2017/10/30	1
2017/10/31	1
2017/11/1	1
2017/11/2	1
2017/11/3	1
2017/11/4	1
2017/11/5	1
2017/11/6	1
2017/11/7	1
2017/11/8	1
2017/11/9	1
2017/11/10	1
2017/11/11	1
2017/11/12	1
2017/11/13	1
2017/11/14	1
2017/11/15	1
2017/11/16	1
2017/11/17	1
2017/11/18	1
2017/11/19	1
2017/11/20	1
2017/11/21	1
2017/11/22	1
2017/11/23	1
2017/11/24	1
2017/11/25	1
2017/11/26	1
2017/11/27	1
2017/11/28	1
2017/11/29	1
2017/11/30	1
2017/12/1	1
2017/12/2	1
2017/12/3	1
2017/12/4	1
2017/12/5	1
2017/12/6	1
2017/12/7	1
