date,disease
2017/1/14,0
2017/1/15,0
2017/1/16,0
2017/1/17,0
2017/1/18,0
2017/1/19,0
2017/1/20,0
2017/1/21,1
2017/1/22,1
2017/1/23,1
2017/1/24,1
2017/1/25,1
2017/1/26,1
2017/1/27,1
2017/1/28,1
2017/1/29,1
2017/1/30,1
2017/1/31,1
2017/2/1,1
2017/2/2,1
2017/2/3,1
2017/2/4,1
2017/2/5,1
2017/2/6,1
2017/2/7,1
2017/2/8,1
2017/2/9,1
2017/2/10,1
2017/2/11,1
2017/2/12,1
2017/2/13,1
2017/2/14,1
2017/2/15,1
2017/2/16,1
2017/2/17,1
2017/2/18,1
2017/2/19,1
2017/2/20,1
2017/2/21,1
2017/2/22,1
2017/2/23,1
2017/2/24,1
2017/2/25,1
2017/2/26,1
2017/2/27,1
2017/2/28,1
2017/3/1,1
2017/3/2,1
2017/3/3,1
2017/3/4,1
2017/3/5,1
2017/3/6,1
2017/3/7,1
2017/3/8,1
2017/3/9,1
2017/3/10,1
